,Win rate,Time
Catan,"[2399, 219, 8]","[224, 146, 139]"
CatanNoExchange,"[2539, 365, False]","[145, 632, False]"
Century,"[1988, 7, 0]","[32, 46, 42]"
Durak,"[2488, 383, False]","[12, 12, False]"
Exploding_Kitten,"[1945, 1671, False]","[21, 19, False]"
Fantan,"[2426, 120, False]","[21, 38, False]"
GoFish,"[2461, 2511, False]","[7, 7, False]"
Imploding_Kitten,"[1658, 1351, False]","[67, 48, False]"
MachiKoro,"[2453, 42, 10]","[9, 11, 10]"
Phom,"[2469, 536, False]","[44, 71, False]"
Poker,"[1127, 1132, False]","[87, 64, False]"
Sheriff,"[2441, 1, 344]","[20, 22, 15]"
Splendor,"[2467, 24, 2]","[111, 154, 84]"
Splendor_v2,"[2493, 13, 3]","[39, 32, 43]"
Splendor_v3,"[2608, 642, 33]","[28, 26, 32]"
StoneAge,"[2556, 49, 0]","[59, 183, 61]"
SushiGo,"[1961, 154, 154]","[12, 11, 15]"
TicketToRide,"[2013, 1, False]","[110, 1072, False]"
TLMN,"[2504, 767, 302]","[18, 17, 25]"
WelcomeToTheDungeon_v1,"[2462, 837, False]","[4, 8, False]"
WelcomeToTheDungeon_v2,"[2469, 904, False]","[6, 9, False]"
